Name,RA,DEC,ALLWISE
AWI0004077,19:24:29.64,+09:27:52.3,J192429.64+092752.3
AWI0001ocb,19:24:58.71,+21:45:47.1,J192458.71+214547.1
AWI00066j9,19:25:06.74,-07:10:05.0,J192506.74-071005.0
AWI0004d7c,19:25:13.49,+08:36:02.2,J192513.49+083602.2
AWI0005v32,19:25:19.64,+00:18:52.2,J192519.64+001852.2
AWI00021r6,19:25:25.62,+23:45:31.9,J192525.62+234531.9
AWI0004d7x,19:25:47.77,+09:44:58.8,J192547.77+094458.8
AWI00021rk,19:25:50.24,+22:41:12.2,J192550.24+224112.2
AWI0004d8c,19:26:11.27,+09:08:56.3,J192611.27+090856.3
AWI0004xge,19:26:40.58,+03:59:40.1,J192640.58+035940.1
AWI0001oeh,19:27:02.97,+21:33:22.1,J192702.97+213322.1
AWI00040a4,19:27:13.73,+11:53:28.4,J192713.73+115328.4
AWI0001ofb,19:27:46.65,+21:44:09.2,J192746.65+214409.2
AWI0001ofz,19:28:32.52,+21:49:36.4,J192832.52+214936.4
AWI0001og3,19:28:35.01,+23:31:53.7,J192835.01+233153.7
AWI00018cj,19:28:58.74,+20:13:20.5,J192858.74+201320.5
AWI0004xib,19:29:54.09,+06:16:28.9,J192954.09+061628.9
AWI00021u5,19:30:00.83,+26:26:26.5,J193000.83+262626.5
AWI00040es,19:32:17.50,+14:49:51.6,J193217.50+144951.6
AWI0003kp9,19:32:51.71,+16:07:32.6,J193251.71+160732.6
AWI00059y8,19:33:14.20,+48:41:50.7,J193314.20+484150.7
AWI0004xkl,19:33:35.00,+06:29:24.9,J193335.00+062924.9
AWI00040gg,19:34:00.79,+14:05:27.7,J193400.79+140527.7
AWI0005v9n,19:35:52.32,+04:03:28.0,J193552.32+040328.0
AWI0001onp,19:36:12.43,+26:03:31.1,J193612.43+260331.1
AWI00021y8,19:37:04.97,+27:32:40.6,J193704.97+273240.6
AWI0001ook,19:37:11.95,+26:32:12.9,J193711.95+263212.9
AWI0001ool,19:37:13.00,+26:24:14.6,J193713.00+262414.6
AWI0001oon,19:37:14.31,+27:19:20.2,J193714.31+271920.2
AWI00021yx,19:38:11.23,+28:23:32.5,J193811.23+282332.5
AWI0003ksp,19:39:18.30,+18:37:13.1,J193918.30+183713.1
AWI00066pc,19:39:18.70,-01:53:52.6,J193918.70-015352.6
AWI000220g,19:40:51.59,+30:25:25.2,J194051.59+302525.2
AWI0001os1,19:41:03.03,+27:25:13.1,J194103.03+272513.1
AWI00018mn,19:41:12.96,+25:28:56.6,J194112.96+252856.6
AWI0004xoq,19:43:15.86,+11:25:18.7,J194315.86+112518.7
AWI0001ouk,19:43:57.38,+29:50:37.1,J194357.38+295037.1
AWI00040pc,19:44:40.41,+19:40:04.2,J194440.41+194004.2
AWI0001ovv,19:46:01.64,+30:25:02.0,J194601.64+302502.0
AWI000224g,19:48:11.15,+32:20:00.1,J194811.15+322000.1
AWI00018qo,19:48:17.90,+27:51:30.3,J194817.90+275130.3
AWI0002bx6,19:48:45.75,+34:22:01.7,J194845.75+342201.7
AWI00018r0,19:48:58.47,+27:55:41.8,J194858.47+275541.8
AWI0005y5q,19:49:46.11,-09:09:49.3,J194946.11-090949.3
AWI0002254,19:49:49.33,+32:40:05.9,J194949.33+324005.9
AWI00066t4,19:49:53.07,-03:10:06.3,J194953.07-031006.3
AWI0001oz3,19:50:26.27,+32:05:12.0,J195026.27+320512.0
AWI0003kxf,19:50:27.37,+23:07:15.6,J195027.37+230715.6
AWI000225p,19:51:07.12,+33:06:01.2,J195107.12+330601.2
AWI00018ry,19:51:36.63,+29:03:01.6,J195136.63+290301.6
AWI00018s2,19:51:42.66,+29:40:23.3,J195142.66+294023.3
AWI0002byj,19:52:46.04,+35:44:11.7,J195246.04+354411.7
AWI00040ug,19:53:50.23,+23:18:23.2,J195350.23+231823.2
AWI0005y6h,19:54:04.46,-09:51:24.1,J195404.46-095124.1
AWI000227n,19:54:28.60,+35:08:17.1,J195428.60+350817.1
AWI0003kzc,19:54:52.93,+25:04:48.6,J195452.93+250448.6
AWI000227u,19:55:08.40,+34:59:21.2,J195508.40+345921.2
AWI0002uc0,19:55:13.02,+27:36:11.6,J195513.02+273611.6
AWI0004xuh,19:55:34.87,+17:57:55.1,J195534.87+175755.1
AWI00040vq,19:56:03.24,+24:12:05.2,J195603.24+241205.2
AWI0003kzt,19:56:15.60,+25:02:43.9,J195615.60+250243.9
AWI0003buv,19:56:19.36,+26:43:33.0,J195619.36+264333.0
AWI0004xuq,19:56:39.49,+15:38:47.6,J195639.49+153847.6
AWI00066vk,19:56:40.08,+04:32:45.7,J195640.08+043245.7
AWI00066vl,19:56:46.30,+00:00:51.1,J195646.30+000051.1
AWI00033wh,19:57:23.27,+26:34:52.5,J195723.27+263452.5
AWI00040wu,19:57:58.48,+24:18:19.1,J195758.48+241819.1
AWI00040x6,19:58:35.05,+25:21:06.2,J195835.05+252106.2
AWI0003l0q,19:59:00.23,+26:41:14.9,J195900.23+264114.9
AWI0004dpk,19:59:00.50,+23:25:33.7,J195900.50+232533.7
AWI00018v8,19:59:24.05,+32:30:54.9,J195924.05+323054.9
AWI00066wh,20:00:19.62,+09:54:24.7,J200019.62+095424.7
AWI00033xu,20:00:38.58,+28:06:51.1,J200038.58+280651.1
AWI0003l18,20:00:52.84,+26:50:07.3,J200052.84+265007.3
AWI0001p6i,20:00:58.91,+34:56:51.1,J200058.91+345651.1
AWI0004109,20:04:38.97,+26:49:41.8,J200438.97+264941.8
AWI0004dru,20:05:12.66,+24:48:38.0,J200512.66+244838.0
AWI0004mw1,20:05:57.54,+24:05:37.2,J200557.54+240537.2
AWI0004dsc,20:06:39.96,+26:03:44.7,J200639.96+260344.7
AWI00022em,20:07:12.80,+38:07:17.4,J200712.80+380717.4
AWI0005y8g,20:08:28.99,+00:49:05.9,J200828.99+004905.9
AWI0002c5b,20:08:34.37,+41:07:04.3,J200834.37+410704.3
AWI0003l3v,20:08:38.95,+29:27:49.9,J200838.95+292749.9
AWI00022f9,20:08:42.33,+39:09:18.8,J200842.33+390918.8
AWI0004132,20:09:39.71,+27:45:27.3,J200939.71+274527.3
AWI0005a2d,20:09:46.35,+60:15:21.0,J200946.35+601521.0
AWI0004mwu,20:09:47.06,+25:50:21.7,J200947.06+255021.7
AWI00022g1,20:10:20.06,+39:44:47.9,J201020.06+394447.9
AWI0004mwx,20:10:44.23,+26:09:41.8,J201044.23+260941.8
AWI0004mx1,20:11:17.75,+26:04:23.5,J201117.75+260423.5
AWI0002nqv,20:11:35.38,+45:57:13.2,J201135.38+455713.2
AWI000414f,20:12:28.07,+28:53:57.9,J201228.07+285357.9
AWI0005byq,20:12:36.50,+67:10:15.1,J201236.50+671015.1
AWI0001pey,20:12:53.92,+38:39:30.1,J201253.92+383930.1
AWI0002nsh,20:13:44.10,+45:24:27.6,J201344.10+452427.6
AWI000344t,20:14:15.66,+32:44:48.1,J201415.66+324448.1
AWI000415i,20:14:17.43,+30:46:08.8,J201417.43+304608.8
AWI0002c7c,20:14:43.80,+42:56:04.9,J201443.80+425604.9
AWI0004y0q,20:17:30.80,+25:42:58.7,J201730.80+254258.7
AWI0004dw8,20:18:30.71,+29:30:04.7,J201830.71+293004.7
AWI0002c8l,20:18:45.91,+44:34:37.5,J201845.91+443437.5
AWI0001951,20:19:26.14,+38:12:03.9,J201926.14+381203.9
AWI0004dwv,20:21:52.87,+30:26:19.6,J202152.87+302619.6
AWI0005586,20:22:49.80,+38:01:06.3,J202249.80+380106.3
AWI0002upj,20:24:08.75,+37:31:35.6,J202408.75+373135.6
AWI0003c7g,20:25:00.20,+36:37:34.5,J202500.20+363734.5
AWI0006713,20:25:01.83,+11:28:54.3,J202501.83+112854.3
AWI0004190,20:25:10.87,+34:10:15.3,J202510.87+341015.3
AWI000419h,20:26:18.53,+33:42:36.6,J202618.53+334236.6
AWI0003la3,20:26:30.87,+34:47:52.7,J202630.87+344752.7
AWI000671e,20:26:40.23,+12:29:56.8,J202640.23+122956.8
AWI000559p,20:27:10.21,+38:54:01.5,J202710.21+385401.5
AWI0002o0h,20:27:21.81,+49:22:18.1,J202721.81+492218.1
AWI0002ccf,20:27:38.65,+46:21:05.3,J202738.65+462105.3
AWI0004dyu,20:28:20.05,+32:58:54.9,J202820.05+325854.9
AWI0002o11,20:28:44.57,+49:52:56.9,J202844.57+495256.9
AWI0004y36,20:28:59.42,+30:08:14.4,J202859.42+300814.4
AWI0003lap,20:29:36.77,+36:16:17.2,J202936.77+361617.2
AWI0002o2h,20:31:59.77,+49:31:18.1,J203159.77+493118.1
AWI00041cn,20:32:23.09,+36:10:24.1,J203223.09+361024.1
AWI00022n5,20:34:06.01,+46:08:27.4,J203406.01+460827.4
AWI0004y4e,20:34:37.11,+30:03:12.8,J203437.11+300312.8
AWI00022nf,20:35:06.30,+45:31:47.3,J203506.30+453147.3
AWI0002o3w,20:35:46.36,+50:50:43.4,J203546.36+505043.4
AWI0005bzl,20:36:38.39,+68:17:39.8,J203638.39+681739.8
AWI00041fg,20:37:48.36,+37:14:24.2,J203748.36+371424.2
AWI0004y50,20:37:48.74,+32:20:18.2,J203748.74+322018.2
AWI0002cft,20:38:36.26,+48:58:07.0,J203836.26+485807.0
AWI00022pa,20:39:31.76,+47:25:58.5,J203931.76+472558.5
AWI00041gb,20:40:12.74,+38:20:50.4,J204012.74+382050.4
AWI0001po3,20:40:15.96,+46:14:01.6,J204015.96+461401.6
AWI0001poa,20:40:42.68,+46:27:22.1,J204042.68+462722.1
AWI0004e27,20:41:01.47,+36:38:00.9,J204101.47+363800.9
AWI0004e29,20:41:22.68,+36:39:37.5,J204122.68+363937.5
AWI0002cgh,20:41:32.01,+48:58:17.0,J204132.01+485817.0
AWI0002cgm,20:42:04.41,+49:18:17.5,J204204.41+491817.5
AWI00022pw,20:42:28.58,+47:46:50.4,J204228.58+474650.4
AWI00041h5,20:42:29.05,+38:08:22.6,J204229.05+380822.6
AWI00041hk,20:43:58.45,+37:55:18.7,J204358.45+375518.7
AWI0005zc6,20:45:20.75,+07:33:42.2,J204520.75+073342.2
AWI00022r4,20:45:39.80,+48:19:52.8,J204539.80+481952.8
AWI0002o7f,20:46:41.20,+52:13:31.8,J204641.20+521331.8
AWI0005a4l,20:47:16.66,+60:35:27.0,J204716.66+603527.0
AWI00022rq,20:48:15.60,+49:28:38.8,J204815.60+492838.8
AWI0001pra,20:48:48.35,+47:46:39.5,J204848.35+474639.5
AWI0006740,20:49:31.01,+23:34:59.4,J204931.01+233459.4
AWI0003leo,20:50:08.78,+41:13:49.3,J205008.78+411349.3
AWI00022se,20:50:27.42,+50:04:31.9,J205027.42+500431.9
AWI0002cid,20:50:55.38,+51:01:54.0,J205055.38+510154.0
AWI0002cif,20:51:06.97,+51:27:21.5,J205106.97+512721.5
AWI0004e59,20:53:02.51,+38:36:41.4,J205302.51+383641.4
AWI00041k5,20:54:34.65,+41:42:01.4,J205434.65+414201.4
AWI0003lff,20:55:33.24,+42:48:29.5,J205533.24+424829.5
AWI00019bk,20:56:09.52,+47:12:16.1,J205609.52+471216.1
AWI00022ub,20:56:13.51,+51:00:52.0,J205613.51+510052.0
AWI0002uvb,20:57:38.16,+45:28:22.1,J205738.16+452822.1
AWI000674l,20:57:53.64,+24:48:22.3,J205753.64+244822.3
AWI000674o,20:58:24.97,+23:30:52.8,J205824.97+233052.8
AWI0001puf,20:59:33.72,+49:46:23.7,J205933.72+494623.7
AWI0005mea,21:00:38.16,+57:36:13.8,J210038.16+573613.8
AWI00019c9,21:02:06.45,+48:18:01.3,J210206.45+481801.3
AWI00022w1,21:02:28.96,+51:25:53.2,J210228.96+512553.2
AWI0002ckh,21:03:41.16,+53:51:23.3,J210341.16+535123.3
AWI00034ev,21:03:59.42,+44:39:38.7,J210359.42+443938.7
AWI0001pwe,21:04:31.93,+51:08:55.3,J210431.93+510855.3
AWI00022wn,21:04:32.49,+51:36:15.8,J210432.49+513615.8
AWI00034ez,21:04:50.88,+44:49:47.9,J210450.88+444947.9
AWI0004n4l,21:07:25.44,+40:21:02.1,J210725.44+402102.1
AWI0005zuy,21:07:34.65,+01:22:27.4,J210734.65+012227.4
AWI0003lh4,21:07:53.35,+44:47:52.0,J210753.35+444752.0
AWI00022xg,21:08:01.53,+52:30:19.1,J210801.53+523019.1
AWI0002o9g,21:08:05.95,+57:02:09.1,J210805.95+570209.1
AWI0002o9q,21:09:52.58,+56:51:44.6,J210952.58+565144.6
AWI00041nk,21:10:25.80,+44:14:57.8,J211025.80+441457.8
AWI0005zdc,21:12:50.20,+16:29:02.6,J211250.20+162902.6
AWI0004e7v,21:13:24.90,+44:01:24.7,J211324.90+440124.7
AWI0004n54,21:14:26.28,+42:40:33.5,J211426.28+424033.5
AWI0004y96,21:15:54.87,+41:10:20.1,J211554.87+411020.1
AWI00022z7,21:19:17.81,+54:24:53.3,J211917.81+542453.3
AWI0001q09,21:20:38.05,+53:14:28.1,J212038.05+531428.1
AWI0002ob6,21:20:39.31,+57:16:37.7,J212039.31+571637.7
AWI0005a6v,21:20:57.78,+67:59:30.7,J212057.78+675930.7
AWI00055i2,21:21:50.39,+50:37:27.2,J212150.39+503727.2
AWI000675y,21:24:43.63,+33:59:17.1,J212443.63+335917.1
AWI0005mhp,21:25:01.99,+61:59:36.1,J212501.99+615936.1
AWI0002cms,21:26:45.14,+57:01:17.2,J212645.14+570117.2
AWI0005mhx,21:27:27.31,+62:53:23.3,J212727.31+625323.3
AWI00055in,21:27:38.30,+51:29:33.8,J212738.30+512933.8
AWI0001q16,21:27:42.22,+53:49:49.4,J212742.22+534949.4
AWI0002304,21:28:51.65,+56:26:48.3,J212851.65+562648.3
AWI000230p,21:33:43.17,+56:30:21.1,J213343.17+563021.1
AWI000676m,21:36:15.35,+36:50:03.4,J213615.35+365003.4
AWI000676v,21:42:17.20,+39:18:57.6,J214217.20+391857.6
AWI000232v,21:42:28.70,+58:13:26.7,J214228.70+581326.7
AWI0004yb0,21:45:02.02,+45:02:10.2,J214502.02+450210.2
AWI0002348,21:48:01.30,+58:11:11.1,J214801.30+581111.1
AWI0001q4v,21:51:26.39,+57:24:55.4,J215126.39+572455.4
AWI0001q4z,21:52:17.48,+57:03:47.8,J215217.48+570347.8
AWI0005a9q,21:52:56.86,+71:17:07.9,J215256.86+711707.9
AWI00034hg,21:52:58.43,+52:28:30.9,J215258.43+522830.9
AWI0003lje,21:56:22.44,+52:22:26.4,J215622.44+522226.4
AWI000623h,21:59:59.89,+13:45:31.2,J215959.89+134531.2
