designation        ,ra         ,dec        ,glon       ,glat       ,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,E_B_V_SFD
J073848.24+270133.3,114.7010020,27.0259369 ,192.7159671,21.7085115 ,14.101,0.028    ,14.048,0.049    ,12.026,0.318    ,8.557 ,null     ,14.996   ,0.035       ,14.415   ,0.038       ,14.069   ,0.052       ,0.0397     
J074726.27+241443.5,116.8594674,24.2454192 ,196.2639521,22.5547051 ,14.073,0.028    ,13.966,0.040    ,12.129,0.334    ,8.964 ,null     ,15.001   ,0.048       ,14.333   ,0.059       ,14.067   ,0.055       ,0.0574     
J075144.78+245405.8,117.9366149,24.9016116 ,195.9681936,23.7019566 ,13.896,0.027    ,13.735,0.039    ,11.832,0.300    ,8.644 ,null     ,15.005   ,0.040       ,14.327   ,0.045       ,14.020   ,0.055       ,0.0824     
J075309.83+201917.1,118.2909909,20.3214353 ,200.7404374,22.3604690 ,15.509,0.044    ,15.176,0.091    ,11.858,0.305    ,8.799 ,null     ,16.701   ,0.119       ,15.954   ,0.142       ,15.243   ,0.120       ,0.0510     
J075802.97+281355.6,119.5123859,28.2321182 ,193.0126771,26.1299084 ,15.084,0.036    ,14.868,0.074    ,11.955,0.358    ,8.965 ,null     ,16.118   ,0.069       ,15.794   ,0.111       ,15.591   ,0.172       ,0.0378     
J080033.47+220137.7,120.1394966,22.0271666 ,199.6943397,24.5875351 ,14.784,0.033    ,14.489,0.059    ,11.836,0.304    ,8.751 ,null     ,15.788   ,0.061       ,15.159   ,0.082       ,14.950   ,0.097       ,0.0614     
J080357.75+090418.0,120.9906263,9.0716937  ,212.9197297,20.2056157 ,13.860,0.027    ,13.710,0.040    ,11.955,0.345    ,8.577 ,null     ,14.831   ,0.043       ,14.280   ,0.046       ,13.865   ,0.036       ,0.0240     
J081203.96+422313.7,123.0165357,42.3871572 ,178.0199295,32.2704495 ,13.631,0.026    ,13.591,0.032    ,12.110,0.340    ,8.984 ,null     ,14.605   ,0.032       ,13.935   ,0.044       ,13.821   ,0.042       ,0.0525     
J081432.47+181731.8,123.6352932,18.2921725 ,204.8685710,26.2861764 ,13.520,0.024    ,13.401,0.034    ,11.965,0.303    ,8.317 ,null     ,14.621   ,0.031       ,13.973   ,0.037       ,13.691   ,0.038       ,0.0518     
J081513.52+081553.9,123.8063478,8.2649949  ,215.0007361,22.3595484 ,15.387,0.043    ,15.375,0.107    ,12.221,0.359    ,8.882 ,null     ,16.537   ,0.103       ,15.752   ,0.110       ,15.462   ,0.153       ,0.0183     
