   Teff,Logg,      U,      B,      V,      R,      I,      J,      H,      K,  J-H,  J-K,  H-K
2800,5.5,-27.452,-29.62,-30.998,-33.22,-35.307,-37.399,-38.002,-38.274,0.603,0.875,0.272
2900,2.5,-30.428,-30.81,-31.017,-33.04,-35.119,-37.544,-38.279,-38.453,0.735,0.909,0.174
2900,3,-30.564,-31.027,-31.312,-33.245,-35.314,-37.562,-38.174,-38.397,0.612,0.836,0.223
2900,3.5,-30.473,-31.133,-31.69,-33.475,-35.474,-37.538,-38.092,-38.365,0.554,0.827,0.272
2900,4,-30.23,-31.142,-31.937,-33.625,-35.571,-37.523,-38.074,-38.366,0.551,0.843,0.292
2900,4.5,-29.818,-31.044,-32.032,-33.69,-35.614,-37.509,-38.069,-38.369,0.561,0.86,0.299
2900,5,-29.095,-30.619,-31.793,-33.675,-35.624,-37.513,-38.092,-38.379,0.578,0.865,0.287
2900,5.5,-28.304,-30.293,-31.627,-33.629,-35.617,-37.52,-38.116,-38.383,0.596,0.863,0.268
3000,2.5,-30.633,-31.167,-31.545,-33.397,-35.385,-37.635,-38.435,-38.606,0.8,0.971,0.171
3000,3,-30.819,-31.406,-31.788,-33.568,-35.561,-37.665,-38.349,-38.546,0.684,0.881,0.197
3000,3.5,-30.858,-31.58,-32.13,-33.783,-35.728,-37.662,-38.256,-38.5,0.594,0.838,0.244
3000,4,-30.716,-31.634,-32.394,-33.945,-35.829,-37.647,-38.215,-38.483,0.568,0.836,0.268
3000,4.5,-30.402,-31.573,-32.526,-34.027,-35.872,-37.623,-38.188,-38.472,0.565,0.849,0.284
3000,5,-29.8,-31.216,-32.337,-34.036,-35.899,-37.637,-38.215,-38.487,0.578,0.851,0.272
3000,5.5,-29.034,-30.887,-32.154,-33.981,-35.888,-37.64,-38.232,-38.489,0.592,0.85,0.257
3100,2.5,-30.763,-31.58,-32.108,-33.771,-35.658,-37.718,-38.568,-38.745,0.85,1.027,0.177
3100,3,-31.011,-31.845,-32.346,-33.935,-35.823,-37.751,-38.497,-38.684,0.746,0.933,0.187
3100,3.5,-31.158,-32.063,-32.646,-34.126,-35.982,-37.757,-38.393,-38.623,0.636,0.867,0.231
3100,4,-31.101,-32.155,-32.931,-34.307,-36.076,-37.736,-38.328,-38.586,0.591,0.85,0.259
3100,4.5,-30.919,-32.194,-33.139,-34.448,-36.142,-37.731,-38.314,-38.581,0.583,0.851,0.268
3100,5,-30.554,-32.101,-33.146,-34.452,-36.144,-37.717,-38.303,-38.572,0.586,0.855,0.269
3100,5.5,-30.085,-31.996,-33.161,-34.475,-36.157,-37.716,-38.316,-38.576,0.599,0.86,0.26
3200,2.5,-30.944,-31.898,-32.497,-34.044,-35.871,-37.798,-38.695,-38.88,0.897,1.082,0.185
3200,3,-31.21,-32.16,-32.742,-34.209,-36.024,-37.837,-38.642,-38.823,0.805,0.986,0.181
3200,3.5,-31.418,-32.394,-33.034,-34.4,-36.181,-37.853,-38.537,-38.753,0.684,0.9,0.216
3200,4,-31.424,-32.512,-33.319,-34.59,-36.28,-37.841,-38.462,-38.704,0.621,0.862,0.242
3200,4.5,-31.32,-32.574,-33.551,-34.754,-36.345,-37.827,-38.423,-38.681,0.596,0.853,0.257
3200,5,-31.05,-32.516,-33.593,-34.783,-36.354,-37.812,-38.402,-38.664,0.59,0.851,0.261
3200,5.5,-30.709,-32.468,-33.659,-34.844,-36.383,-37.818,-38.417,-38.672,0.599,0.854,0.255
3300,2.5,-31.147,-32.251,-32.902,-34.324,-36.094,-37.881,-38.81,-39.005,0.93,1.124,0.194
3300,3,-31.398,-32.477,-33.141,-34.487,-36.219,-37.916,-38.771,-38.953,0.855,1.037,0.182
3300,3.5,-31.633,-32.697,-33.4,-34.661,-36.36,-37.941,-38.678,-38.88,0.737,0.939,0.202
3300,4,-31.71,-32.846,-33.704,-34.875,-36.468,-37.934,-38.579,-38.814,0.646,0.881,0.235
3300,4.5,-31.666,-32.914,-33.906,-35.023,-36.529,-37.925,-38.535,-38.782,0.611,0.857,0.247
3300,5,-31.484,-32.905,-33.997,-35.094,-36.556,-37.918,-38.514,-38.764,0.596,0.846,0.25
3300,5.5,-31.211,-32.859,-34.061,-35.153,-36.573,-37.911,-38.509,-38.759,0.598,0.847,0.25
3400,2.5,-31.382,-32.645,-33.356,-34.627,-36.329,-37.966,-38.907,-39.111,0.941,1.145,0.204
3400,3,-31.605,-32.815,-33.553,-34.774,-36.418,-37.997,-38.884,-39.07,0.887,1.072,0.185
3400,3.5,-31.864,-33.002,-33.742,-34.904,-36.532,-38.028,-38.808,-39.001,0.779,0.973,0.193
3400,4,-31.959,-33.159,-34.071,-35.153,-36.643,-38.022,-38.7,-38.927,0.678,0.906,0.228
3400,4.5,-31.98,-33.246,-34.269,-35.306,-36.708,-38.019,-38.647,-38.887,0.629,0.868,0.24
3400,5,-31.854,-33.229,-34.344,-35.367,-36.721,-38.001,-38.603,-38.848,0.601,0.847,0.246
3400,5.5,-31.684,-33.24,-34.447,-35.46,-36.762,-38.012,-38.61,-38.852,0.598,0.841,0.242
3500,2.5,-31.634,-33.059,-33.844,-34.953,-36.562,-38.057,-38.989,-39.197,0.933,1.14,0.207
3500,3,-31.809,-33.183,-34.031,-35.11,-36.625,-38.073,-38.979,-39.168,0.906,1.096,0.19
3500,3.5,-31.986,-33.329,-34.259,-35.298,-36.719,-38.091,-38.912,-39.107,0.821,1.016,0.194
3500,4,-32.183,-33.457,-34.42,-35.42,-36.806,-38.106,-38.818,-39.037,0.713,0.931,0.218
3500,4.5,-32.248,-33.533,-34.588,-35.559,-36.862,-38.1,-38.742,-38.978,0.642,0.878,0.236
3500,5,-32.193,-33.546,-34.675,-35.635,-36.887,-38.092,-38.7,-38.94,0.608,0.848,0.24
3500,5.5,-32.065,-33.552,-34.76,-35.714,-36.918,-38.098,-38.695,-38.933,0.597,0.835,0.238
3600,2.5,-31.874,-33.493,-34.439,-35.38,-36.797,-38.134,-39.056,-39.264,0.923,1.13,0.207
3600,3,-32.043,-33.567,-34.523,-35.469,-36.83,-38.15,-39.059,-39.25,0.909,1.1,0.191
3600,3.5,-32.197,-33.65,-34.643,-35.586,-36.885,-38.167,-39.013,-39.203,0.846,1.036,0.189
3600,4,-32.396,-33.746,-34.756,-35.682,-36.959,-38.187,-38.934,-39.14,0.747,0.953,0.206
3600,4.5,-32.506,-33.825,-34.911,-35.821,-37.018,-38.186,-38.845,-39.074,0.66,0.888,0.229
3600,5,-32.506,-33.859,-34.997,-35.901,-37.053,-38.19,-38.806,-39.039,0.616,0.849,0.232
3600,5.5,-32.428,-33.854,-35.063,-35.967,-37.071,-38.184,-38.78,-39.014,0.597,0.831,0.234
3700,2.5,-32.112,-33.871,-34.95,-35.786,-36.987,-38.207,-39.112,-39.314,0.905,1.107,0.202
3700,3,-32.118,-33.689,-34.668,-35.581,-36.889,-38.179,-39.091,-39.278,0.912,1.099,0.187
3700,3.5,-32.431,-33.962,-35.009,-35.869,-37.043,-38.242,-39.1,-39.283,0.857,1.041,0.184
3700,4,-32.612,-34.022,-35.068,-35.931,-37.101,-38.264,-39.034,-39.228,0.77,0.964,0.195
3700,4.5,-32.741,-34.098,-35.206,-36.065,-37.161,-38.27,-38.948,-39.165,0.679,0.895,0.217
3700,5,-32.796,-34.147,-35.3,-36.157,-37.205,-38.277,-38.9,-39.126,0.623,0.849,0.226
3700,5.5,-32.77,-34.154,-35.361,-36.22,-37.226,-38.276,-38.873,-39.102,0.597,0.826,0.228
3800,2.5,-32.414,-34.201,-35.336,-36.109,-37.152,-38.292,-39.165,-39.36,0.873,1.068,0.195
3800,3,-32.576,-34.242,-35.346,-36.129,-37.172,-38.307,-39.179,-39.363,0.872,1.056,0.184
3800,3.5,-32.685,-34.261,-35.342,-36.139,-37.191,-38.321,-39.173,-39.351,0.852,1.029,0.177
3800,4,-32.831,-34.295,-35.367,-36.176,-37.238,-38.343,-39.124,-39.307,0.781,0.964,0.183
3800,4.5,-32.958,-34.344,-35.468,-36.286,-37.289,-38.346,-39.042,-39.245,0.696,0.899,0.203
3800,5,-33.04,-34.388,-35.551,-36.373,-37.331,-38.352,-38.98,-39.199,0.628,0.847,0.219
3800,5.5,-33.038,-34.392,-35.592,-36.42,-37.35,-38.353,-38.948,-39.171,0.596,0.818,0.223
3900,2.5,-32.726,-34.492,-35.662,-36.403,-37.301,-38.376,-39.213,-39.399,0.838,1.023,0.186
3900,3,-32.874,-34.532,-35.675,-36.42,-37.319,-38.387,-39.229,-39.406,0.842,1.019,0.177
3900,3.5,-32.965,-34.547,-35.656,-36.408,-37.335,-38.401,-39.234,-39.405,0.832,1.003,0.171
3900,4,-33.052,-34.558,-35.666,-36.434,-37.366,-38.415,-39.203,-39.375,0.788,0.96,0.173
3900,4.5,-33.185,-34.588,-35.716,-36.498,-37.413,-38.425,-39.135,-39.323,0.71,0.898,0.188
3900,5,-33.275,-34.62,-35.782,-36.574,-37.452,-38.429,-39.064,-39.271,0.635,0.842,0.207
3900,5.5,-33.312,-34.626,-35.82,-36.62,-37.472,-38.427,-39.019,-39.236,0.592,0.809,0.217
4000,2.5,-33.059,-34.761,-35.946,-36.669,-37.44,-38.459,-39.259,-39.436,0.801,0.977,0.176
4000,3,-33.19,-34.797,-35.952,-36.675,-37.455,-38.468,-39.276,-39.445,0.808,0.977,0.169
4000,3.5,-33.26,-34.809,-35.934,-36.658,-37.468,-38.479,-39.284,-39.448,0.805,0.969,0.164
4000,4,-33.309,-34.813,-35.925,-36.658,-37.49,-38.492,-39.273,-39.436,0.781,0.943,0.162
4000,4.5,-33.409,-34.825,-35.946,-36.695,-37.531,-38.504,-39.221,-39.394,0.717,0.89,0.173
4000,5,-33.517,-34.857,-36.015,-36.778,-37.574,-38.509,-39.156,-39.347,0.647,0.838,0.191
4000,5.5,-33.618,-34.859,-36.043,-36.821,-37.592,-38.494,-39.064,-39.279,0.569,0.785,0.215
